MC_Code,MC_Category
3708,Accommodation
3709,Accommodation
3710,Accommodation
3711,Accommodation
3712,Accommodation
3713,Accommodation
3714,Accommodation
3715,Accommodation
3716,Accommodation
3717,Accommodation
3718,Accommodation
3719,Accommodation
3720,Accommodation
3721,Accommodation
3722,Accommodation
3723,Accommodation
3724,Accommodation
3725,Accommodation
3726,Accommodation
3727,Accommodation
3728,Accommodation
3729,Accommodation
3730,Accommodation
3731,Accommodation
3732,Accommodation
3733,Accommodation
3734,Accommodation
3735,Accommodation
3736,Accommodation
3737,Accommodation
3738,Accommodation
3739,Accommodation
3740,Accommodation
3741,Accommodation
3742,Accommodation
3743,Accommodation
3744,Accommodation
3745,Accommodation
3746,Accommodation
3747,Accommodation
3748,Accommodation
3749,Accommodation
3750,Accommodation
3751,Accommodation
3752,Accommodation
3753,Accommodation
3754,Accommodation
3755,Accommodation
3756,Accommodation
3757,Accommodation
3758,Accommodation
3759,Accommodation
3760,Accommodation
3761,Accommodation
3762,Accommodation
3763,Accommodation
3764,Accommodation
3765,Accommodation
3766,Accommodation
3767,Accommodation
3768,Accommodation
3769,Accommodation
3770,Accommodation
3771,Accommodation
3772,Accommodation
3773,Accommodation
3774,Accommodation
3775,Accommodation
3776,Accommodation
3777,Accommodation
3778,Accommodation
3779,Accommodation
3780,Accommodation
3781,Accommodation
3782,Accommodation
3783,Accommodation
3784,Accommodation
3785,Accommodation
3786,Accommodation
3787,Accommodation
3788,Accommodation
3789,Accommodation
3790,Accommodation
4011,Transport
4111,Transport
4112,Transport
4119,Health
4121,Transport
4131,Transport
4214,Transport
4215,Transport
4225,Professional Services
4411,Transport
4457,Transport
4468,Transport
4511,Transport
4582,Transport
4722,Transport
4723,Transport
4784,Transport
4789,Transport
4812,Utilities
4814,Utilities
4816,Utilities
4821,Utilities
4829,Utilities
4899,Utilities
4900,Utilities
5013,Hardware
5021,Office Equipment
5039,Retail
5044,Office Equipment
5045,Electrical Goods
5046,Retail
5047,Retail
5051,Professional Services
5065,Electrical Goods
5072,Hardware
5074,Hardware
5085,Hardware
5094,Utilities
5099,Hardware
5111,Office Equipment
5122,Groceries/Perishables
5131,Groceries/Perishables
5137,Clothing
5139,Clothing
5169,Office Equipment
5172,Utilities
5192,Office Equipment
5193,Groceries/Perishables
5198,Office Equipment
5199,Groceries/Perishables
5200,Hardware
5211,Hardware
5231,Hardware
5251,Hardware
5261,Hardware
5271,Retail
5300,Retail
5309,Retail
5310,Retail
5311,Retail
5331,Retail
5399,Retail
5411,Groceries/Perishables
5422,Groceries/Perishables
5441,Groceries/Perishables
5451,Groceries/Perishables
5462,Groceries/Perishables
5499,Groceries/Perishables
5511,Professional Services
5521,Professional Services
5531,Hardware
5532,Hardware
5533,Hardware
5541,Retail
5542,Retail
5551,Retail
5561,Retail
5571,Retail
5592,Retail
5598,Retail
5599,Retail
5611,Clothing
5621,Clothing
5631,Clothing
5641,Clothing
5651,Clothing
5655,Clothing
5661,Clothing
5681,Clothing
5691,Clothing
5697,Clothing
5698,Clothing
5699,Clothing
5712,Hardware
5713,Hardware
5714,Hardware
5718,Hardware
5719,Hardware
5722,Electrical Goods
5732,Electrical Goods
5733,Entertainment
5734,Electrical Goods
5735,Entertainment
5811,Restaurants/Dining
5812,Restaurants/Dining
5813,Restaurants/Dining
5814,Restaurants/Dining
5912,Groceries/Perishables
5921,Groceries/Perishables
5931,Retail
5932,Retail
5933,Retail
5935,Professional Services
5937,Professional Services
5940,Professional Services
5941,Retail
5942,Retail
5943,Office Equipment
5944,Retail
5945,Entertainment
5946,Electrical Goods
5947,Retail
5948,Hardware
5949,Hardware
5950,Hardware
5960,Misc
5962,Misc
5963,Retail
5964,Retail
5965,Retail
5966,Retail
5967,Retail
5968,Memberships
5969,Misc
5970,Retail
5971,Retail
5972,Retail
5973,Retail
5975,Retail
5976,Retail
5977,Groceries/Perishables
5978,Retail
5983,Retail
5992,Groceries/Perishables
5993,Groceries/Perishables
5994,Groceries/Perishables
5995,Groceries/Perishables
5996,Retail
5997,Electrical Goods
5998,Retail
5999,Retail
6010,Financial Services
6011,Financial Services
6012,Financial Services
6051,Financial Services
6211,Financial Services
6300,Financial Services
6399,Financial Services
6513,Professional Services
7011,Accommodation
7012,Accommodation
7032,Accommodation
7033,Accommodation
7210,Professional Services
7211,Professional Services
7216,Professional Services
7217,Professional Services
7221,Professional Services
7230,Professional Services
7251,Professional Services
7261,Professional Services
7273,Misc
7276,Professional Services
7277,Professional Services
7278,Professional Services
7296,Clothing
7297,Professional Services
7298,Entertainment
7299,Services
7311,Professional Services
7321,Professional Services
7333,Professional Services
7338,Professional Services
7339,Professional Services
7342,Professional Services
7349,Professional Services
7361,Professional Services
7372,Professional Services
7375,Professional Services
7379,Professional Services
7392,Professional Services
7393,Professional Services
7394,Professional Services
7395,Professional Services
7399,Professional Services
7511,Transport
7512,Transport
7513,Transport
7519,Transport
7523,Transport
7531,Transport
7534,Transport
7535,Transport
7538,Transport
7542,Transport
7549,Transport
7622,Professional Services
7623,Professional Services
7629,Professional Services
7631,Professional Services
7641,Professional Services
7692,Professional Services
7699,Professional Services
7829,Entertainment
7832,Entertainment
7841,Entertainment
7911,Entertainment
7922,Entertainment
7929,Entertainment
7932,Entertainment
7933,Entertainment
7941,Entertainment
7991,Entertainment
7992,Entertainment
7993,Entertainment
7994,Entertainment
7995,Entertainment
7996,Entertainment
7997,Memberships
7998,Entertainment
7999,Entertainment
8011,Health
8021,Health
8031,Health
8041,Health
8042,Health
8043,Health
8049,Health
8050,Health
8062,Health
8071,Health
8099,Health
8111,Professional Services
8211,Education
8220,Education
8241,Education
8244,Education
8249,Education
8299,Education
8351,Professional Services
8398,Charity
8641,Charity
8651,Memberships
8675,Memberships
8699,Memberships
8734,Professional Services
8911,Professional Services
8931,Professional Services
8999,Professional Services
9211,Legal
9222,Legal
9223,Legal
9311,Legal
9399,Legal
9402,Legal
9405,Legal
9950,Legal
