Name,County,"Population Census
4/21/1991",Population Census 4/28/1996,Population Census 4/28/2002,Population Census 4/23/2006,Population Census 4/10/2011,Population Census 4/24/2016
Castlemartyr,Cork,587,484,577,978,"1,277","1,600"
Castlepollard,Westmeath,863,888,895,"1,004","1,042","1,163"
Castlerea,Roscommon,"1,822","1,790","1,788","1,873","1,985","1,992"
Castletown,Laois,291,294,289,314,418,436
Castletownbere,Cork,921,926,875,868,912,860
Castletown Geoghegan,Westmeath,...,...,...,...,150,141
Castletownroche,Cork,450,421,423,398,435,454
Castletownsend,Cork,147,141,157,188,187,196
Causeway,Kerry,233,261,251,211,264,257
Cavan,Cavan,"5,254","5,623","6,098","7,883","10,205","10,914"
Celbridge,Kildare,"9,629","12,289","16,016","17,262","19,537","20,288"
Charlestown - Bellahy,Mayo / Sligo,712,675,753,859,914,"1,033"
Cheekpoint,Waterford,298,320,325,313,334,318
Churchtown,Cork,...,...,...,217,509,598
Cill Charthaigh (Kilcar),Donegal,307,290,262,232,248,258
Cill Rónáin (Kilronan),Galway,295,265,270,259,297,247
Clane,Kildare,"1,822","3,126","4,417","4,968","6,702","7,280"
Clara,Offaly,"2,505","2,464","2,704","3,001","3,242","3,336"
Claremorris,Mayo,"1,907","1,914","2,101","2,595","3,412","3,687"
Clarina,Limerick,...,...,...,216,275,294
Clarinbridge,Galway,...,...,173,257,389,384
Clashmore,Waterford,...,...,161,224,252,252
Clifden,Galway,808,920,"1,355","1,497","2,056","1,597"
Cliffoney,Sligo,292,305,327,425,483,492
Cloghan,Offaly,453,477,523,503,612,601
Clogh - Chatsworth,Kilkenny,311,272,320,351,358,344
Clogheen,Tipperary,499,518,550,509,491,478
Clogherhead,Louth,746,775,906,"1,558","1,993","2,145"
Clonakilty,Cork,"2,812","2,950","3,698","4,154","4,721","4,592"
Clonard,Meath,...,...,248,347,339,347
Clonaslee,Laois,483,504,538,501,518,566
Clonbullogue,Offaly,335,329,390,442,422,439
Clondrohid,Cork,...,...,...,...,188,179
Clondulane,Cork,...,...,...,...,333,417
